"Haltestellen_Id";"Haltestellennummer";"Haltestellenkurzname";"Haltestellenlangname"
572;1226;"HACK";"Dietikon, Hofacker"
623;6695;"DLAE";"Dietikon, Lätten"
583;1540;"LERZ";"Dietikon, Lerzen"
567;1616;"MARW";"Dietikon, Marmori-Weiher"
581;2399;"DMOO";"Dietikon, Moosmatt"
619;1758;"ODIE";"Dietikon, Oberdorf"
753;1843;"OETW";"Dietikon, Oetwilerstrasse"
584;1868;"PEST";"Dietikon, Pestalozzi"
585;1039;"DRAP";"Dietikon, Rapidplatz"
766;7107;"DSCH";"Dietikon, Schöneggstrasse"
219;3472;"SWER";"Dietikon, Schönenwerd"
580;6262;"DSIL";"Dietikon, Silbern"
570;2406;"SOME";"Dietikon, Sommerau"
616;6261;"STHA";"Dietikon, Stadthalle Ost"
568;3344;"DSTA";"Dietikon, Stadthaus"
620;2471;"STAF";"Dietikon, Staffelackerstrasse"
617;2569;"STEA";"Dietikon, Stelzenacker"
768;7108;"DSTO";"Dietikon, Stoffelbach"
220;7066;"DWAB";"Dietikon, Wasserburg"
622;6694;"WEST";"Dietikon, Weidstrasse"
624;6698;"DWEI";"Dietikon, Weinberg"
752;7073;"DZEN";"Dietikon, Zentrum"
258;81;"ALTZ07";"Dübendorf, Alterszentrum"
557;6660;"DARI07";"Dübendorf, Am Ring"
254;2422;"DBRE07";"Dübendorf, Breitibach"
725;6986;"DHOS07";"Dübendorf, Hochbord Süd"
256;1228;"HOFF07";"Dübendorf, Hoffnung"
252;1273;"DHOG07";"Dübendorf, Högler"
259;1478;"KAMM07";"Dübendorf, Kämmaten"
251;1414;"KWIL07";"Dübendorf, Kirche Wil"
558;3785;"RINW07";"Dübendorf, Ringwiesen"
255;6346;"DSON07";"Dübendorf, Sonnental"
253;2838;"DWAS07";"Dübendorf, Wasserfurren"
596;738;"EBDO";"Ebmatingen, Dorf"
597;1527;"LEEA";"Ebmatingen, Leeacherstrasse"
595;1583;"MLOR";"Ebmatingen, Looren"
534;6591;"GAAN";"Effretikon, Garage Andres"
8;12487;"EGG99";"Egg"
10;12488;"EMMA99";"Emmat"
11;10804;"ESSL99";"Esslingen"
542;815;"FAAU";"Fahrweid, Au"
543;548;"BRUS";"Fahrweid, Brunaustrasse"
541;1556;"LIMB";"Fahrweid, Limmatbrücke"
250;544;"FBRU";"Fällanden, Bruggacher"
605;750;"EGGL";"Fällanden, Eggler"
248;947;"FAEL";"Fällanden, Gemeindehaus"
602;1324;"FAEI";"Fällanden, Industrie"
266;3133;"FJUG";"Fällanden, Jugendherberge"
246;1723;"FNEU";"Fällanden, Neuhus"
606;2335;"SHUA";"Fällanden, Schützenhaus"
247;3368;"FWIG";"Fällanden, Wigarten"
249;2999;"FZIL";"Fällanden, Zil"
4;12492;"FOR99";"Forch"
3;6046;"DEPF";"Forch, Depot Forchbahn"
518;701;"DOGE";"Geroldswil, Dorfstrasse"
544;1028;"GRIN";"Geroldswil, Grindlen"
588;2303;"SWAK";"Geroldswil, Schweizäcker"
517;2869;"WELB";"Geroldswil, Welbrig"
519;2982;"ZENT";"Geroldswil, Zentrum"
218;3727;"GLAN";"Glanzenberg, Bahnhof"
546;994;"BGLA07";"Glattbrugg, Bahnhof"
742;909;"FROH07";"Glattbrugg, Frohbühlstrasse"
698;3247;"GHOF07";"Glattbrugg, Glatthof"
743;1925;"PGLA07";"Glattbrugg, Post"
